id,name,anal,anal_ID,quar,quar_ID,cal,cal_ID,arag,arag_ID,dolo,dolo_ID,orth,orth_ID,anorth,anorth_ID,plagi,plagi_ID,mont,mont_ID,ill,ill_ID,py,py_ID,alb,alb_ID,mus,mus_ID,anothi,anothi_ID,iron,iron_ID,paly,paly_ID,chab,chab_ID,phil,phil_ID,harm,harm_ID,clin,clin_ID,erio,erio_ID,sani,sani_ID,hali,hali_ID,gyp,gyp_ID,andr,andr_ID,nont,nont_ID,any1,any1_ID,any2,any2_ID
45,2A-26Y-3-6-8,0,NA,0,NA,3,00-005-0586,0,NA,0,NA,1,NA,0,NA,0,NA,1,00-012-0204,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
46,2A-27Y-1-16-18,0,NA,0,NA,3,00-005-0586,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-005-0099,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
47,2A-27Y-1-48-51,0,NA,0,NA,3,01-071-3699,0,NA,0,NA,2,NA,1,00-009-0478,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
48,2A-27Y-1-71-73-TUFF,0,NA,0,NA,3,01-072-4582,0,NA,0,NA,2,01-086-0439,0,NA,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,1,Augite,0,NA
49,2A-27Y-1-80-83,0,NA,0,NA,3,00-005-0586,0,NA,1,NA,2,NA,0,NA,0,NA,1,00-012-0204,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Augite,0,NA
50,2A-27Y-2-16-19,0,NA,0,NA,2,01-071-3699,0,NA,0,NA,3,NA,0,NA,0,NA,1,NA,1,00-009-0343,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
51,2A-27Y-2-48-51,1,NA,0,NA,3,01-071-3699,0,NA,0,NA,2,01-086-0439,0,NA,0,NA,2,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
52,2A-27Y-2-80-83,0,NA,1,NA,3,NA,0,NA,0,NA,2,NA,0,NA,0,NA,2,00-003-0015,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-020-0688,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
53,2A-27Y-3-6-8,0,NA,0,NA,3,01-071-3699,0,NA,0,NA,2,NA,0,NA,0,NA,3,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
54,2A-28Y-1-16-19,0,NA,0,NA,3,NA,0,NA,0,NA,2,NA,0,NA,0,NA,2,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
55,2A-28Y-1-48-50,0,NA,0,NA,3,01-072-4582,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-012-0204,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-005-0099,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
56,2A-29Y-1-16-19-TUFF,1,NA,0,NA,0,NA,0,NA,1,NA,2,NA,2,NA,0,NA,1,NA,1,00-025-0001,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,01-073-1419,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
57,2A-29Y-1-48-51,0,NA,0,NA,3,01-071-3699,0,NA,3,NA,1,01-086-0439,1,01-076-0803,0,NA,2,00-012-0204,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
58,2A-29Y-1-80-83,0,NA,0,NA,3,00-005-0586,0,NA,0,NA,0,NA,1,01-075-1630,0,NA,2,NA,0,NA,0,NA,0,NA,1,NA,1,01-075-1587,0,NA,0,NA,0,NA,1,00-039-1375,0,NA,0,NA,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
59,2A-29Y-1-112-115,0,NA,1,NA,3,00-005-0586,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-012-0204,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
60,2A-29Y-1-144-147,0,NA,0,NA,3,00-005-0586,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
61,2A-29Y-2-16-19,0,NA,0,NA,3,01-072-4582,0,NA,0,NA,1,NA,1,01-076-0803,0,NA,2,00-012-0204,1,00-009-0343,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,01-073-1419,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
62,2A-29Y-2-48-51,2,NA,0,NA,3,01-071-3699,0,NA,0,NA,2,01-086-0439,2,NA,0,NA,2,NA,2,00-009-0343,1,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
63,2A-29Y-2-80-83,2,NA,0,NA,3,01-072-4582,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
64,2A-29Y-2-112-115,2,NA,0,NA,3,NA,0,NA,0,NA,1,NA,1,NA,0,NA,2,00-012-0204,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
65,2A-29Y-2-144-147,0,NA,0,NA,3,00-005-0586,0,NA,0,NA,2,01-086-0439,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-039-1375,0,NA,0,NA,1,NA,1,01-083-1657,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
66,2A-30Y-1-5-8,0,NA,0,NA,3,01-071-3699,0,NA,0,NA,2,NA,0,NA,0,NA,1,NA,1,00-009-0343,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Diopside,0,NA
